time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,relative_humidity_2m_mean,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,sunshine_duration,shortwave_radiation_sum,city,lat,lon,year,month,day,season,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,dust
2016-01-01,25.2,18.3,21.1,24.6,17.1,20.1,71,0.0,0.0,23.8,40.3,37388.24,15.36,三亚,18.2528,109.5119,2016,1,1,winter,,,,,,,
2016-01-02,26.0,18.9,22.0,28.0,18.6,22.9,75,0.1,0.1,17.3,29.2,35247.64,13.55,三亚,18.2528,109.5119,2016,1,2,winter,,,,,,,
2016-01-03,25.0,20.1,22.5,28.2,22.1,25.1,84,2.7,2.7,10.5,16.6,29913.62,9.32,三亚,18.2528,109.5119,2016,1,3,winter,,,,,,,
2016-01-04,25.5,21.3,23.0,29.5,24.1,26.3,90,1.9,1.9,11.0,20.5,12341.21,7.23,三亚,18.2528,109.5119,2016,1,4,winter,,,,,,,
2016-01-05,26.9,21.9,23.9,30.7,26.0,28.0,90,0.0,0.0,11.7,21.6,34748.32,12.62,三亚,18.2528,109.5119,2016,1,5,winter,,,,,,,
2016-01-06,27.1,19.7,23.3,30.4,22.0,26.0,87,0.0,0.0,19.1,29.9,36356.5,15.39,三亚,18.2528,109.5119,2016,1,6,winter,,,,,,,
2016-01-07,25.7,21.1,22.9,26.2,21.7,23.5,80,0.0,0.0,22.8,41.0,36629.31,15.84,三亚,18.2528,109.5119,2016,1,7,winter,,,,,,,
2016-01-08,25.3,21.0,22.7,25.9,21.8,23.2,80,0.0,0.0,23.1,38.5,37167.02,15.15,三亚,18.2528,109.5119,2016,1,8,winter,,,,,,,
2016-01-09,25.0,21.3,23.0,24.4,21.4,23.0,77,0.8,0.8,26.5,45.7,33760.09,13.2,三亚,18.2528,109.5119,2016,1,9,winter,,,,,,,
2016-01-10,25.0,22.4,23.4,27.7,23.4,25.5,84,3.3,3.3,18.9,31.0,33820.84,10.7,三亚,18.2528,109.5119,2016,1,10,winter,,,,,,,
2016-01-11,26.4,21.1,23.4,30.5,22.9,27.1,90,1.1,1.1,18.7,31.0,35597.28,12.34,三亚,18.2528,109.5119,2016,1,11,winter,,,,,,,
2016-01-12,25.2,20.3,22.2,25.9,21.0,22.6,79,0.3,0.3,23.7,38.5,33585.84,11.85,三亚,18.2528,109.5119,2016,1,12,winter,,,,,,,
2016-01-13,23.5,20.6,21.6,22.9,19.8,21.0,82,4.4,4.4,27.6,46.1,24085.83,8.7,三亚,18.2528,109.5119,2016,1,13,winter,,,,,,,
2016-01-14,23.7,20.4,22.0,24.0,19.9,22.0,83,2.0,2.0,27.2,48.6,20302.75,8.1,三亚,18.2528,109.5119,2016,1,14,winter,,,,,,,
2016-01-15,25.1,22.4,23.4,28.7,24.3,26.8,89,5.0,5.0,16.2,29.2,22400.94,7.99,三亚,18.2528,109.5119,2016,1,15,winter,,,,,,,
2016-01-16,24.7,22.1,23.2,28.8,25.9,27.3,95,11.2,11.2,14.4,29.9,19689.26,7.61,三亚,18.2528,109.5119,2016,1,16,winter,,,,,,,
2016-01-17,26.5,22.0,24.3,30.8,23.0,28.3,90,2.4,2.4,18.5,34.6,35852.58,12.36,三亚,18.2528,109.5119,2016,1,17,winter,,,,,,,
2016-01-18,22.8,20.7,21.4,22.5,20.5,21.4,81,0.6,0.6,25.3,41.8,6236.19,5.71,三亚,18.2528,109.5119,2016,1,18,winter,,,,,,,
2016-01-19,23.9,20.4,21.8,25.4,19.8,22.1,83,6.1,6.1,22.8,40.0,2993.99,6.08,三亚,18.2528,109.5119,2016,1,19,winter,,,,,,,
