city,year,month,lat,lon,records,avg_temp,avg_temp_max,avg_temp_min,avg_temp_range,avg_apparent_temp,avg_apparent_gap,avg_humidity,total_precipitation,avg_precipitation,rainy_days,heavy_rain_days,avg_wind,avg_wind_gust,windy_days,gusty_days,avg_sunshine_hour,sunny_days,low_sunshine_days,avg_shortwave,hot_days,extreme_hot_days,cold_days,freezing_days,avg_pm25,avg_pm10,avg_co,avg_no2,avg_so2,avg_ozone,avg_dust,good_air_days,polluted_days,dusty_days,ozone_high_days,climate_comfort_index,air_quality_score,tourism_comfort_index,pollution_index,summer_escape_index,winter_retirement_index
三亚,2016,1,18.2528,109.5119,31,21.387096774193548,23.970967741935485,19.39032258064516,4.580645161290323,22.651612903225807,1.2645161290322586,84.16129032258064,101.4,3.270967741935484,25,0,19.86774193548387,35.3,2,3,6.721462634408602,15,5,9.998709677419354,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,79.22483209771855,,,,,82.70775038071366
三亚,2016,2,18.2528,109.5119,29,20.010344827586206,23.196551724137933,17.137931034482758,6.058620689655173,20.20344827586207,0.19310344827586198,77.27586206896552,5.3,0.18275862068965518,5,0,18.93793103448276,33.08620689655172,0,0,9.34727978927203,23,0,16.082758620689653,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,82.21264349691177,,,,,85.14566460499594
三亚,2016,3,18.2528,109.5119,31,22.716129032258067,25.82903225806452,20.251612903225805,5.577419354838709,24.638709677419353,1.9225806451612901,81.29032258064517,7.2,0.23225806451612904,7,0,17.19677419354839,29.845161290322583,0,0,9.727901344086021,28,3,18.38290322580645,0,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,80.44504849224259,,,,,
三亚,2016,4,18.2528,109.5119,30,26.973333333333336,29.913333333333334,24.913333333333334,5.0,32.07333333333334,5.1,86.1,18.0,0.6,12,0,14.743333333333334,27.05,0,0,11.488531666666667,30,0,22.480999999999998,16,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,69.20066539503745,,,,,
三亚,2016,5,18.2528,109.5119,31,28.309677419354838,30.770967741935483,26.62258064516129,4.1483870967741945,34.18709677419355,5.877419354838709,85.74193548387096,110.6,3.5677419354838706,27,0,14.14516129032258,26.883870967741935,0,0,10.514110931899642,25,1,20.174193548387095,28,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,65.92976573679445,,,,,
三亚,2016,6,18.2528,109.5119,30,28.766666666666666,30.91,26.953333333333333,3.9566666666666666,34.64666666666667,5.88,85.13333333333334,211.6,7.053333333333333,28,0,17.123333333333335,32.39,0,0,11.080537407407407,27,0,21.113999999999997,24,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,64.61032880136248,,,,36.08586668029237,
三亚,2016,7,18.2528,109.5119,31,28.541935483870965,30.6,26.822580645161292,3.7774193548387096,34.229032258064514,5.687096774193549,84.96774193548387,283.3,9.138709677419355,31,1,17.896774193548385,31.948387096774194,1,1,10.69761953405018,27,2,20.664516129032258,26,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,64.87185378763361,,,,36.14075867732177,
三亚,2016,8,18.2528,109.5119,31,28.151612903225807,30.203225806451613,26.43548387096774,3.7677419354838713,33.270967741935486,5.119354838709677,86.58064516129032,380.2,12.264516129032257,31,3,21.448387096774194,39.46451612903226,7,7,9.004319623655915,23,5,17.076451612903227,21,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,65.45799718021533,,,,38.00504694586752,
三亚,2016,9,18.2528,109.5119,30,27.663333333333334,29.759999999999998,25.946666666666665,3.8133333333333335,32.79666666666667,5.133333333333334,85.9,267.6,8.92,27,3,18.026666666666664,31.533333333333335,3,3,8.794317314814814,25,4,16.48966666666667,19,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,67.97134843257345,,,,,
三亚,2016,10,18.2528,109.5119,31,26.574193548387097,28.787096774193547,24.925806451612903,3.861290322580645,30.348387096774193,3.774193548387097,84.96774193548387,288.1,9.293548387096775,26,2,20.9741935483871,37.667741935483875,6,6,8.578442921146953,21,3,14.216451612903224,4,0,0,0,,,,,,,,0.0,0.0,0.0,0.0,71.52198637235092,,,,,
