city,lat,lon,summer_escape_index,avg_temp,avg_apparent_temp,avg_humidity,hot_days,extreme_hot_days,rainy_days,avg_sunshine_hour,climate_comfort_index
丽江,26.855,100.2278,72.14011982308179,17.324239130434783,18.232608695652175,83.11413043478261,2,0,873,9.26795336352657,77.5350726218453
昆明,25.0389,102.7183,68.05879747104615,19.4975,20.580108695652175,81.71195652173913,4,0,890,9.320076147342995,81.77760212797365
大理,25.6065,100.2676,66.0451991812403,20.20108695652174,21.774021739130436,82.70108695652173,6,0,863,9.231192107487923,82.8187430583265
乌鲁木齐,43.8256,87.6168,62.92272545837718,24.38336956521739,22.674891304347828,39.292391304347824,472,97,296,11.157850422705314,80.70422681491449
哈尔滨,45.8038,126.5349,62.71693580777802,22.05695652173913,23.20228260869565,75.21739130434783,141,4,619,10.088079115338164,80.11356291650596
青岛,36.0671,120.3826,53.2708915346059,24.821521739130436,27.85663043478261,83.78478260869565,156,1,500,9.518317889492753,74.27537731635513
北京,39.9042,116.4074,48.88946201401393,26.415434782608695,28.66945652173913,65.80978260869566,630,160,494,9.273448831521739,76.5477320525549
西安,34.3416,108.9398,47.84729347643548,27.384130434782605,29.60739130434783,61.62717391304348,696,314,418,9.468243333333334,75.81916802446412
成都,30.5728,104.0668,45.986117667149976,26.376304347826085,30.111304347826085,75.63152173913043,555,85,692,8.253982077294685,75.72027907085389
上海,31.2304,121.4737,42.39683776019007,27.286304347826086,31.532065217391306,80.68478260869566,598,131,677,8.826607086352656,70.80169851732096
南京,32.0603,118.7969,42.349617365882864,27.443260869565215,31.70967391304348,78.27173913043478,610,105,599,8.70615597826087,71.60750296591797
苏州,31.2989,120.5853,41.909697287404164,27.518478260869568,31.876195652173912,79.54347826086956,609,136,638,8.810810404589372,70.74101819711997
重庆,29.563,106.5516,41.00864297299515,27.959456521739128,32.73793478260869,76.34021739130435,621,223,620,8.709323925120774,71.13409754784576
桂林,25.2736,110.29,40.1044997110425,27.391956521739132,32.45989130434783,81.71413043478262,675,42,815,9.172292593599034,70.01147330548694
杭州,30.2741,120.1551,39.95804318078107,27.96065217391304,32.79184782608696,78.70217391304348,656,221,672,8.747092185990338,69.8965198652814
深圳,22.5431,114.0579,38.7122317527073,27.69804347826087,33.187282608695654,86.55978260869566,616,7,891,9.196169921497585,66.94365175740467
厦门,24.4798,118.0894,37.83473966225247,28.56021739130435,33.71326086956522,80.97717391304347,703,115,775,9.851860948067634,66.7795426745753
三亚,18.2528,109.5119,36.831178660186325,28.634891304347825,34.353913043478265,84.15434782608695,683,0,877,10.322896796497584,64.85865760790237
广州,23.1291,113.2644,36.60473582937619,28.25282608695652,33.71902173913043,83.90652173913044,740,44,868,8.952594067028986,66.97880842643403
海口,20.044,110.1999,36.34177218854701,28.875326086956523,34.232173913043475,81.94565217391303,775,55,811,10.369213103864734,65.81725691604568
