city,lat,lon,winter_retirement_index,avg_temp,avg_apparent_temp,avg_humidity,cold_days,freezing_days,rainy_days,avg_sunshine_hour,air_quality_score
三亚,18.2528,109.5119,87.21952231164303,21.804913308913306,22.20563736263736,75.24155067155067,0,0,284,9.426147630375798,94.13566733295973
深圳,22.5431,114.0579,82.73750282006912,16.30774481074481,14.99462393162393,70.03460317460318,0,0,337,7.953173452075701,88.82929863469933
海口,20.044,110.1999,82.42767109902199,19.611070818070818,19.344540903540903,80.51896214896215,0,0,516,6.975343958791209,92.40875165831552
厦门,24.4798,118.0894,81.6571280224642,14.991852258852258,12.844956043956046,68.86882783882784,1,0,312,8.05338862851038,90.83166581436355
广州,23.1291,113.2644,81.64816775081978,15.624117216117217,13.808938949938952,66.2280463980464,0,0,353,7.0384040865893365,87.91542204203144
大理,25.6065,100.2676,80.34085285389418,9.766028083028084,6.929163614163615,67.66527472527473,4,0,200,9.697773857482023,93.72465676407087
昆明,25.0389,102.7183,76.95940880520837,9.273770451770451,6.361663003663003,71.30684981684982,57,2,415,8.232729524962691,92.43887087586494
桂林,25.2736,110.29,75.76222953745136,10.208897435897436,7.437532356532357,70.82943833943834,25,0,495,5.2266091209808705,92.43668623476935
重庆,29.563,106.5516,74.13703200349067,9.275489621489623,7.4594529914529915,78.76213675213675,11,0,474,3.6292739793108124,84.0453571695458
成都,30.5728,104.0668,73.8854105297863,7.828884004884005,5.363887667887668,74.32455433455434,60,0,433,5.00068340676299,84.73199261440747
丽江,26.855,100.2278,71.86515575191723,6.195892551892552,2.776905982905983,58.16746031746031,582,3,275,9.885745137193053,94.41994755018186
杭州,30.2741,120.1551,70.61603264201784,6.5153931623931625,3.565598290598291,73.87600732600733,237,27,394,5.948731297008547,86.41633490590955
上海,31.2304,121.4737,70.26440204666562,6.329479853479854,2.919167277167277,74.6678144078144,221,28,348,6.222904069020485,85.03292778121939
苏州,31.2989,120.5853,70.07133101050057,5.876028083028084,2.4424188034188035,72.43612942612943,274,29,352,6.294752352428436,87.5736821943239
南京,32.0603,118.7969,68.6232032432215,4.883540903540903,1.3706239316239315,71.18819291819293,361,45,312,6.405060951668702,87.20259842232132
青岛,36.0671,120.3826,64.29985940221738,2.070383394383394,-2.6474456654456655,64.05095238095238,617,90,157,7.7937870518925525,91.19564065271202
西安,34.3416,108.9398,63.8005617881292,2.272186813186813,-1.5064346764346763,59.230012210012205,707,129,186,7.400378191120607,85.02927608625157
北京,39.9042,116.4074,53.08934482563306,-1.7328632478632477,-6.591229548229547,39.87290598290598,887,559,70,8.216438524080857,80.31878923705007
乌鲁木齐,43.8256,87.6168,45.55539745342457,-10.11593894993895,-14.694969474969474,72.89396825396825,901,869,195,7.564615729242979,87.43996544560581
哈尔滨,45.8038,126.5349,43.38992175559346,-14.35302442002442,-19.770967032967032,66.63151404151404,902,894,172,7.778257394926061,92.22235640671074
