city,city_type,高温天数,极端高温天数,寒冷天数,冰冻天数,高温天数_norm,极端高温天数_norm,寒冷天数_norm,冰冻天数_norm,极端天气综合强度
乌鲁木齐,北方大陆四季型,550,102,1440,1097,0.3879003558718861,0.2956521739130435,0.8566329565734682,0.8610675039246468,2.4012529902830444
西安,湿润宜居综合型,923,345,766,131,0.6533807829181495,1.0,0.45568114217727546,0.10282574568288853,2.2118876707783133
北京,北方大陆四季型,787,169,1158,603,0.5565836298932384,0.48985507246376814,0.6888756692444973,0.47331240188383045,2.208626773485334
哈尔滨,北方大陆四季型,148,4,1681,1274,0.10177935943060498,0.011594202898550725,1.0,1.0,2.113373562329156
杭州,湿润宜居综合型,874,243,242,27,0.6185053380782918,0.7043478260869566,0.1439619274241523,0.02119309262166405,1.4880081842110648
重庆,湿润宜居综合型,826,260,11,0,0.5843416370106762,0.7536231884057971,0.006543723973825104,0.0,1.3445085493902984
海口,滨海暖冬度假型,1410,117,0,0,1.0,0.3391304347826087,0.0,0.0,1.3391304347826087
厦门,滨海暖冬度假型,1190,161,1,0,0.8434163701067615,0.4666666666666667,0.000594883997620464,0.0,1.3106779207710486
苏州,湿润宜居综合型,767,140,278,29,0.5423487544483986,0.4057971014492754,0.165377751338489,0.022762951334379906,1.1362865585705428
南京,湿润宜居综合型,758,108,371,45,0.5359430604982206,0.3130434782608696,0.22070196311719215,0.03532182103610675,1.1050103229123893
广州,滨海暖冬度假型,1297,57,0,0,0.9195729537366548,0.16521739130434782,0.0,0.0,1.0847903450410026
上海,湿润宜居综合型,741,139,225,28,0.5238434163701068,0.4028985507246377,0.1338488994646044,0.02197802197802198,1.0825688885373708
桂林,湿润宜居综合型,1027,60,25,0,0.7274021352313167,0.17391304347826086,0.0148720999405116,0.0,0.9161872786500892
三亚,滨海暖冬度假型,1237,0,0,0,0.8768683274021353,0.0,0.0,0.0,0.8768683274021353
成都,湿润宜居综合型,694,103,60,0,0.4903914590747331,0.2985507246376812,0.03569303985722784,0.0,0.824635223569642
深圳,滨海暖冬度假型,1032,13,0,0,0.7309608540925266,0.03768115942028986,0.0,0.0,0.7686420135128165
青岛,湿润宜居综合型,162,1,666,90,0.11174377224199289,0.002898550724637681,0.396192742415229,0.0706436420722135,0.5814787074540732
丽江,高原避暑型,5,0,635,3,0.0,0.0,0.37775133848899467,0.002354788069073783,0.38010612655806847
昆明,高原避暑型,48,0,60,2,0.030604982206405694,0.0,0.03569303985722784,0.0015698587127158557,0.06786788077634938
大理,高原避暑型,18,0,4,0,0.009252669039145907,0.0,0.002379535990481856,0.0,0.011632205029627763
