feature,importance,target
temperature_2m_mean,0.05613873459563091,pm2_5
temperature_2m_max,0.06893010629808533,pm2_5
temperature_2m_min,0.061095528077513006,pm2_5
apparent_temperature_mean,0.03822286028007494,pm2_5
relative_humidity_2m_mean,0.08052520926393542,pm2_5
precipitation_sum,0.030077492982911475,pm2_5
rain_sum,0.025437200074120512,pm2_5
wind_speed_10m_max,0.075400974988899,pm2_5
wind_gusts_10m_max,0.29678466902332823,pm2_5
sunshine_duration,0.0581741435782899,pm2_5
shortwave_radiation_sum,0.07099879845274831,pm2_5
month,0.005167584790939122,pm2_5
season_code,0.0365523577067957,pm2_5
dayofyear,0.09649433988672812,pm2_5
temperature_2m_mean,0.07109806742926854,pm10
temperature_2m_max,0.05035765090790605,pm10
temperature_2m_min,0.09768445230177111,pm10
apparent_temperature_mean,0.04844786479882807,pm10
relative_humidity_2m_mean,0.20332310871806403,pm10
precipitation_sum,0.013733414480919403,pm10
rain_sum,0.012566187074957503,pm10
wind_speed_10m_max,0.08979438777466017,pm10
wind_gusts_10m_max,0.15192157926133076,pm10
sunshine_duration,0.0684166405890932,pm10
shortwave_radiation_sum,0.06161141377052837,pm10
month,0.009802922826364396,pm10
season_code,0.005946004272780948,pm10
dayofyear,0.11529630579352743,pm10
temperature_2m_mean,0.03917614296376771,nitrogen_dioxide
temperature_2m_max,0.06349115242554954,nitrogen_dioxide
temperature_2m_min,0.06831903761158184,nitrogen_dioxide
apparent_temperature_mean,0.0434987502835385,nitrogen_dioxide
relative_humidity_2m_mean,0.057322375055128966,nitrogen_dioxide
precipitation_sum,0.02524429925799112,nitrogen_dioxide
rain_sum,0.027662611387393406,nitrogen_dioxide
wind_speed_10m_max,0.09089142005935132,nitrogen_dioxide
wind_gusts_10m_max,0.32699855713313675,nitrogen_dioxide
sunshine_duration,0.08132480120409014,nitrogen_dioxide
shortwave_radiation_sum,0.07428129705820641,nitrogen_dioxide
month,0.00519308992930108,nitrogen_dioxide
season_code,0.005254106788383773,nitrogen_dioxide
dayofyear,0.09134235884257955,nitrogen_dioxide
temperature_2m_mean,0.07301316763197714,sulphur_dioxide
temperature_2m_max,0.10584534674985405,sulphur_dioxide
temperature_2m_min,0.062041944160592624,sulphur_dioxide
apparent_temperature_mean,0.03973846984550794,sulphur_dioxide
relative_humidity_2m_mean,0.05009283044361703,sulphur_dioxide
precipitation_sum,0.02607825136959932,sulphur_dioxide
rain_sum,0.013999806257548026,sulphur_dioxide
wind_speed_10m_max,0.06273482857532649,sulphur_dioxide
wind_gusts_10m_max,0.2865810536021719,sulphur_dioxide
sunshine_duration,0.052666252795914116,sulphur_dioxide
shortwave_radiation_sum,0.06879798516893243,sulphur_dioxide
month,0.0037161412439103195,sulphur_dioxide
season_code,0.036279596484202266,sulphur_dioxide
dayofyear,0.11841432567084632,sulphur_dioxide
temperature_2m_mean,0.03528965624100052,ozone
temperature_2m_max,0.04453549623271817,ozone
temperature_2m_min,0.07492497311007948,ozone
apparent_temperature_mean,0.04612379481395397,ozone
relative_humidity_2m_mean,0.04540550460491491,ozone
precipitation_sum,0.01608854048064054,ozone
rain_sum,0.018997491146799262,ozone
wind_speed_10m_max,0.04525856768194703,ozone
wind_gusts_10m_max,0.10230712404111189,ozone
sunshine_duration,0.03960203563688728,ozone
shortwave_radiation_sum,0.4278821379416143,ozone
month,0.0041560416434327984,ozone
season_code,0.02582247459893399,ozone
dayofyear,0.073606161825966,ozone
temperature_2m_mean,0.09432703241770113,dust
temperature_2m_max,0.05641905391722793,dust
temperature_2m_min,0.09997206602517715,dust
apparent_temperature_mean,0.05432047115069649,dust
relative_humidity_2m_mean,0.23430457906713728,dust
precipitation_sum,0.006344076289661746,dust
rain_sum,0.008213311986051356,dust
wind_speed_10m_max,0.07973907862871951,dust
wind_gusts_10m_max,0.090476266674152,dust
sunshine_duration,0.06108603727347497,dust
shortwave_radiation_sum,0.04685130108537187,dust
month,0.011098399763139056,dust
season_code,0.012899336183883343,dust
dayofyear,0.14394898953760624,dust
