特征,Dust,NO2,O3,PM10,PM2.5,SO2
最大阵风,0.090476266674152,0.32699855713313675,0.10230712404111189,0.15192157926133076,0.29678466902332823,0.2865810536021719
短波辐射,0.04685130108537187,0.07428129705820641,0.4278821379416143,0.06161141377052837,0.07099879845274831,0.06879798516893243
相对湿度,0.23430457906713728,0.057322375055128966,0.04540550460491491,0.20332310871806403,0.08052520926393542,0.05009283044361703
年内日序,0.14394898953760624,0.09134235884257955,0.073606161825966,0.11529630579352743,0.09649433988672812,0.11841432567084632
最低气温,0.09997206602517715,0.06831903761158184,0.07492497311007948,0.09768445230177111,0.061095528077513006,0.062041944160592624
最大风速,0.07973907862871951,0.09089142005935132,0.04525856768194703,0.08979438777466017,0.075400974988899,0.06273482857532649
最高气温,0.05641905391722793,0.06349115242554954,0.04453549623271817,0.05035765090790605,0.06893010629808533,0.10584534674985405
平均气温,0.09432703241770113,0.03917614296376771,0.03528965624100052,0.07109806742926854,0.05613873459563091,0.07301316763197714
日照时长,0.06108603727347497,0.08132480120409014,0.03960203563688728,0.0684166405890932,0.0581741435782899,0.052666252795914116
体感温度,0.05432047115069649,0.0434987502835385,0.04612379481395397,0.04844786479882807,0.03822286028007494,0.03973846984550794
季节,0.012899336183883343,0.005254106788383773,0.02582247459893399,0.005946004272780948,0.0365523577067957,0.036279596484202266
降水量,0.006344076289661746,0.02524429925799112,0.01608854048064054,0.013733414480919403,0.030077492982911475,0.02607825136959932
降雨量,0.008213311986051356,0.027662611387393406,0.018997491146799262,0.012566187074957503,0.025437200074120512,0.013999806257548026
月份,0.011098399763139056,0.00519308992930108,0.0041560416434327984,0.009802922826364396,0.005167584790939122,0.0037161412439103195
